market_code,stock_name,stock_code,today_close,dividen_ratio,market_cap,per
NYSE,나이키, NKE,102.71,0.95%,1273.62,38.01
NYSE,JPMorgan Chase & Co., JPM,111.23,3.24%,3389.2,12.56
NYSE,코카-콜라 컴퍼니, KO,49.09,3.34%,2108.36,21.16
NYSE,Global Net Lease Inc, GNL,16.53,9.68%,14.79,43.54
NASDAQ,애플, AAPL,331.5,0.99%,14400,25.99
NASDAQ,스타벅스, SBUX,82.14,2.00%,959.48,29.23
NYSE,AT&T Inc., T,32.77,6.35%,2334.86,16.63
NYSE,마스터카드, MA,311.88,0.51%,3097.1,39.9
NYSE,프록터 앤드 갬블, PG,118.33,2.67%,2929.43,62.75
NYSE,오메가 헬스케어, OHI,34.28,7.82%,77.78,21.58
NASDAQ,코스트코, COST,312.04,0.90%,1377.73,37.3
NYSE,버라이즌 커뮤니케이션스, VZ,57.74,4.26%,2389.28,13
NYSE,Morgan Stanley, MS,49.53,2.83%,780.42,10.3
NASDAQ,마이크로소프트, MSFT,187.2,1.09%,1.42,31.17
NYSE,비자카드, V,199.61,0.60%,4249.73,35.93
NYSE,존슨앤드존슨, JNJ,147.3,2.74%,3880.76,22.98
NYSE,맥도날드, MCD,197.16,2.54%,1466,25.83
NYSE,보잉, BA,205.43,4.00%,1159.29,-
NYSE,Bank of America Corp, BAC,28.11,2.56%,2438.71,11.47
NASDAQ,펩시코, PEP,132.44,3.09%,1837.61,25.68
NYSE,월마트, WMT,121.56,1.78%,3442.52,23.12
NASDAQ,인텔, INTC,64.34,2.05%,2724.16,12.45
NYSE,Wells Fargo & Co, WFC,31.67,6.44%,1298.47,11.18
NYSE,허니웰, HON,161.37,2.23%,1132.57,18.54
NYSE,도미노피자, DPZ,376.41,0.83%,147.24,36.03
NASDAQ,퀄컴, QCOM,88.55,2.94%,996.12,26.28
NYSE,블랙록, BLK,556.53,2.61%,858.51,20.63
NASDAQ,길리어드 사이언시스, GILD,76.75,3.54%,962.73,19.73
NYSE,3M, MMM,167.41,3.51%,962.94,19.64
NYSE,유나이티드헬스그룹, UNH,311.85,1.60%,2957.52,21.83
NASDAQ,암젠, AMGN,225.67,2.84%,1327.5,17.68
NYSE,홈디포, HD,254.9,2.35%,2741.51,25.33
NASDAQ,아날로그 디바이스, ADI,124.59,1.99%,459.02,41.78
NASDAQ,로즈 스토어, ROST,102.48,1.11%,364.2,39.72
NASDAQ,스카이웍스 솔루션, SWKS,136.16,1.29%,227.16,29.54
NYSE,켈로그, K,65.62,3.47%,224.86,21.91
NYSE,에스티 로더, EL,205.17,0.94%,738.61,57.92
NYSE,Goldman Sachs Group Inc, GS,217.92,2.29%,749.4,11.84
NYSE,월트 디즈니 컴퍼니, DIS,124.82,1.41%,2254.58,42.12
NYSE,리얼티인컴, O,62.21,4.49%,213.64,42.9
NYSEARCA,SPDR S&P 500 Trust ETF, SPY,319.34,1.81%,2841.25,-
NYSEARCA,iShares S&P 500 Index, IVV,320.48,2.00%,1998.83,14.21
NYSEARCA,VANGUARD IX FUN/S&P 500 ETF SHS NEW, VOO,293.61,1.35%,0,-
NASDAQ,"PowerShares QQQ Trust, Series 1", QQQ,239.69,0.68%,1102.09,-
NYSEARCA,GLB X FUNDS/SUPERDIVIDEND U S E, DIV,16.46,11.49%,0,-
NASDAQ,iShares S&P NA Tec. Semi. Idx. Fd., SOXX,272.21,1.20%,30.62,21.99
NYSEARCA,Financial Select Sector SPDR Fund, XLF,26.24,2.28%,198.79,-
NASDAQ,iShares NASDAQ Biotechnology Index, IBB,131.35,0.20%,86.82,1.39
NYSEARCA,뱅가드 디비덴드 어프리시에이션 ETF, VIG,122.24,1.72%,442.35,14.32
NYSEARCA,iShares MSCI France Index, EWQ,28.87,2.77%,6.76,4.36
BATS,ARK ETF TR/INDL INNOVATION ETF, ARKQ,46.83,-,0,-
